OC,B11,B12,B2,B3,B4,B8,bai,bsi,evi,lai,nbr,ndmi,ndvi,ndwi,savi,slope,LST_Day_1km,elevation
0.25,0.3055,0.24555,0.1348,0.1468,0.1595,0.2287,31.25005923,0.8540854,0.147271632,0.233506416,-0.035529803,-0.14376639,0.17825861,0.21810919,0.116865561,1.9853191,14989.1513,49
0.25,0.2565,0.181,0.1044,0.114,0.1238,0.2044,46.69013417,0.7908666,0.173080228,0.28809603,0.060716163,-0.11303971,0.24558195,0.2839196,0.145979233,3.1591995,14943.75031,64
1,0.1563,0.0867,0.0688,0.0914,0.0803,0.2797,20.55237183,0.45578602,0.400240878,0.691024155,0.52674675,0.28302756,0.5538889,0.5074104,0.347790705,1.060394,15042.54949,51
1,0.1562,0.0924,0.0666,0.1028,0.0988,0.2336,33.18025963,0.5865031,0.253975433,0.479837075,0.43312883,0.19856335,0.4055355,0.38882285,0.242912062,1.7728771,14885.9487,65
0.16,0.1926,0.105,0.0634,0.0791,0.0762,0.2722,21.93209712,0.4803818,0.390780742,0.686873268,0.44326615,0.17125644,0.56257176,0.54967266,0.346534636,0.65850025,15040.20951,63
0.16,0.2552,0.23905,0.153,0.1687,0.1663,0.1973,43.01633949,0.9289561,0.073978624,0.107061867,-0.09568007,-0.1279558,0.085258536,0.0781421,0.053844378,3.0897708,14996.21993,54
0.64,0.2219,0.1917,0.099,0.1096,0.1128,0.16,98.38801723,0.8657947,0.107831476,0.178479912,-0.09013364,-0.16208433,0.17302051,0.1869436,0.091614896,1.7529132,15037.25338,53
0.64,0.17645,0.12475,0.1059,0.1147,0.112,0.2001,50.57654379,0.7287979,0.204341971,0.319993778,0.2319532,0.062807076,0.2822813,0.2712834,0.162726266,1.7683883,15052.96807,44
0.64,0.2653,0.2641,0.123,0.1398,0.1516,0.2076,40.90260665,0.8812805,0.117184219,0.194217771,-0.1197795,-0.12201313,0.15590198,0.19516408,0.097765353,2.9280834,15051.62003,45
0.64,0.2418,0.2077,0.12,0.1322,0.1366,0.2138,40.0096029,0.8168446,0.170284086,0.270020866,0.014472121,-0.061457414,0.22031963,0.23583813,0.136171206,5.156326,15044.96064,49
0.64,0.1905,0.1184,0.1266,0.1422,0.1204,0.3056,16.46483151,0.56320757,0.429299937,0.603651871,0.44150943,0.23200963,0.43474177,0.36489505,0.29999999,2.1124985,15041.48365,47
0.64,0.1974,0.1604,0.145,0.1592,0.1522,0.2344,30.17483181,0.7917933,0.193849645,0.277787801,0.18743667,0.085687816,0.21262288,0.19105692,0.139070616,3.821315,15040.36628,47
0.64,0.20965,0.17735,0.10915,0.1162,0.1163,0.156,105.4664231,0.8809059,0.095877511,0.150198269,-0.064046785,-0.14672498,0.14579508,0.14621603,0.077107344,5.573146,15054.34596,43
0.64,0.1997,0.1593,0.1003,0.119,0.109,0.2434,29.65901866,0.6662528,0.293411337,0.469180999,0.20884031,0.09862333,0.3813848,0.34326708,0.236508676,1.124073,15049.08564,45
0.64,0.2161,0.1973,0.1088,0.1248,0.145,0.1794,61.41993464,0.9086806,0.069725965,0.123422456,-0.047517933,-0.09279396,0.10604193,0.17948718,0.062590978,1.620879,15051.68078,43
0.64,0.2157,0.1779,0.1023,0.1114,0.105,0.16,99.75063088,0.83722997,0.134441462,0.209683878,-0.05297427,-0.1482566,0.20754717,0.17907147,0.107843138,1.9730443,15052.6274,45
0.64,0.1951,0.1724,0.1074,0.1238,0.131,0.15,110.3630836,0.941067,0.042016826,0.071235266,-0.069478884,-0.13068673,0.06761569,0.095690295,0.036491694,4.5091977,15053.43421,38
0.64,0.272,0.2544,0.125,0.149,0.1622,0.2344,29.16795328,0.85229135,0.142114792,0.241735702,-0.04091655,-0.074249625,0.1820474,0.22274387,0.120789649,1.2958547,15054.12267,43
0.64,0.18765,0.1418,0.131,0.151,0.1448,0.2265,33.6368587,0.77817,0.183545992,0.280101001,0.22997557,0.09380662,0.22003768,0.20000003,0.140651893,3.0331802,15035.75235,46
0.64,0.1955,0.1651,0.0819,0.1034,0.1104,0.1932,56.02114775,0.76890874,0.166753955,0.303331742,0.07842594,-0.005917145,0.27272728,0.30276468,0.154554519,1.2242411,15052.00968,43
0.64,0.2904,0.2377,0.1284,0.1626,0.181,0.2412,25.3842934,0.87429523,0.110321079,0.196893529,0.007308414,-0.092550784,0.14258647,0.19465083,0.097918032,1.8620913,15053.11116,38
0.64,0.1994,0.163,0.0904,0.1116,0.12,0.2067,45.61858768,0.7654855,0.173580529,0.310359752,0.11820394,0.01797588,0.2653811,0.29877475,0.157312206,3.3903685,15053.4518,39
0.64,0.1734,0.1366,0.1024,0.123,0.1126,0.2182,39.70459877,0.70236754,0.234499908,0.376488765,0.22998871,0.11440245,0.31922612,0.2790152,0.190659605,2.0442874,15049.3843,42
0.64,0.209,0.1378,0.0653,0.0855,0.0824,0.216,40.57492775,0.6223855,0.273624718,0.492024441,0.22102886,0.016470587,0.44772118,0.43283582,0.251002009,2.4152148,15047.38371,37
0.64,0.2205,0.1526,0.0779,0.0946,0.088,0.2327,33.36748852,0.6244485,0.307492892,0.521075563,0.20788994,0.026919676,0.45120052,0.42193708,0.264469364,2.6341026,14978.7139,51
0.64,0.2987,0.2908,0.123,0.1436,0.1592,0.2171,35.47980477,0.88600117,0.115818528,0.197568791,-0.14510733,-0.15820087,0.15386659,0.20377043,0.099109889,1.3572321,14966.84178,53
0.64,0.2471,0.19355,0.08835,0.1057,0.1136,0.21225,42.79902036,0.75689995,0.20030862,0.35343435,0.046081785,-0.07586808,0.30274665,0.33511558,0.179179017,1.9907502,14971.14843,55
0.64,0.21245,0.1436,0.0796,0.0968,0.09525,0.24175,30.25203668,0.61982614,0.301130515,0.519135155,0.25470352,0.064509034,0.4347181,0.42814946,0.262544799,5.0397367,15017.52594,102
0.64,0.23885,0.19895,0.09035,0.112,0.1208,0.1868,60.56612031,0.82890475,0.133714215,0.240810808,-0.031497058,-0.122283556,0.21456437,0.25033468,0.122585437,1.152749,15025.15918,71
0.64,0.2098,0.1677,0.08285,0.09925,0.10095,0.1594,101.2016406,0.8213085,0.127762352,0.223934022,-0.025374478,-0.13651139,0.22450547,0.23255363,0.115308736,1.1895461,15020.74815,78
0.64,0.21055,0.1435,0.08575,0.105,0.10785,0.23605,32.20070241,0.6622316,0.258462519,0.451238041,0.24384138,0.057098076,0.37278277,0.38425452,0.227870592,1.7052289,15023.04553,72
0.64,0.2126,0.137,0.0843,0.1094,0.0997,0.2326,33.56735238,0.64042205,0.277209975,0.473120364,0.25865802,0.044923656,0.39993984,0.36023393,0.239517014,0.7113078,15009.62671,46
